striker,runs,balls,dismissals,average,strike_rate,category,runs_norm,avg_norm,sr_norm,performance_score
V Kohli,7273,5739,195.0,37.297435897435896,126.72939536504617,Good,1.0000000000000002,0.7143916207576686,0.49382629686297275,0.8130827455998952
DA Warner,6399,4719,156.0,41.01923076923077,135.60076287349014,Good,0.8746594005449592,0.808176902672924,0.6029712839181569,0.800377027857988
S Dhawan,6617,5358,188.0,35.1968085106383,123.49757372153789,Good,0.9059228452602898,0.6614580393927423,0.45406499387224075,0.7422118332224157
AB de Villiers,5181,3487,130.0,39.853846153846156,148.58044164037855,Good,0.6999856589703141,0.7788104468475823,0.7626610802933009,0.7361681795980919
CH Gayle,4997,3516,126.0,39.65873015873016,142.1217292377702,Good,0.6735981643482002,0.7738937307902825,0.6831991392898569,0.7056070292691562
RG Sharma,6213,4890,210.0,29.585714285714285,127.05521472392638,Good,0.8479850853291266,0.5200644183402805,0.4978348727306121,0.6795788427127699
MS Dhoni,5082,3865,131.0,38.79389312977099,131.48771021992238,Good,0.6857880395812419,0.7521007552594814,0.5523681409186529,0.678997874552196
KL Rahul,4169,3180,91.0,45.81318681318681,131.1006289308176,Good,0.5548544385486878,0.9289795085551054,0.5476058557074459,0.6656422429823647
SK Raina,5536,4177,171.0,32.37426900584796,132.53531242518554,Good,0.7508963143553707,0.5903330386089007,0.5652568561053024,0.665599439981416
F du Plessis,4133,3159,112.0,36.901785714285715,130.83254194365307,Good,0.5496916678617525,0.7044216559302767,0.5443075648051825,0.5950338436709958
RV Uthappa,4954,3927,180.0,27.522222222222222,126.15227909345556,Good,0.6674315215832497,0.46806660772178016,0.48672599942493533,0.571480942993146
JC Buttler,3224,2253,86.0,37.48837209302326,143.09809143364402,Good,0.41933170801663566,0.7192030103016471,0.6952113842034382,0.5644690339394995
AM Rahane,4400,3658,142.0,30.985915492957748,120.2843083652269,Good,0.5879822171231894,0.5553480031381925,0.41453199003877095,0.5435019075108067
SR Watson,3880,2892,126.0,30.793650793650794,134.1632088520055,Good,0.5134088627563459,0.5505031367100333,0.5852849672463782,0.5389123658404585
KD Karthik,4517,3492,175.0,25.81142857142857,129.3528064146621,Good,0.6047612218557292,0.42495642288745733,0.526102286419061,0.535087995077914
G Gambhir,4217,3524,136.0,31.00735294117647,119.66515323496027,Good,0.5617381327979349,0.5558882040880013,0.4069144859038356,0.5290184248061349
AT Rayudu,4348,3490,155.0,28.051612903225806,124.58452722063038,Good,0.5805248816865051,0.48140669119534524,0.4674378504780703,0.5281720182974702
SV Samson,3888,2903,133.0,29.23308270676692,133.93041681019636,Good,0.5145561451312204,0.5111784766957181,0.5824209122553496,0.5271157980253955
RR Pant,2851,2000,82.0,34.76829268292683,142.55,Good,0.36583966728811135,0.6506598951931164,0.6884681811546194,0.5158114384329144
SA Yadav,3249,2313,103.0,31.54368932038835,140.4669260700389,Good,0.4229169654381185,0.5694033117869743,0.6628399928393238,0.5148474748230163
